Categ,dbID,siteID,SiteName,SubTitle,Lat,Lon,Desc,Sview,Sviewlat,Sviewlong,Heading,Zoom,Pitch,top,mapzoom,sponsor,ImageN,Image1,Image2,Image3,Image4
5,108,C108,Cross Country Road Cut,,45.189,-77.676,Here is excellent evidence the Shield was deeply rotted by weathering. This outcrop shows good examples of intact core stones surrounded by rotten rock offering a glimpse of what the Shield looked like before the onset of glaciations 2.5 million years ago.,n,NA,NA,NA,NA,NA,n,14,a,2,sitePictures/C108a.jpg,sitePictures/C108b.jpg,sitePictures/C108c.jpg,sitePictures/C108d.jpg
5,109,C109,Quirk Lake Veins,,45.159,-77.779,"The Bancroft area contains many examples of tectonic marble (Sites E44, C105, C107) where relatively soft marble has been squeezed and sheared under high heat and pressure. Hot fluids play a major role in moving minerals in solution where in this case calcite rich fluids were squeezed out of the deforming marble, leaving calcite filled veins that are injected into surrounding granitic and gneissic rocks. Many of these steeply dipping veins (up to a meter wide) have interested mineral assemblages, such as augite, albite, apatite, mica, and hematite . ",n,NA,NA,NA,NA,NA,n,14,a,2,sitePictures/C109a.jpg,sitePictures/C109b.jpg,sitePictures/C109c.jpg,sitePictures/C109d.jpg
3,11,C11,Big Chute Marine Railway,,44.88466667,-79.675,Big Chute Marine Railway is an engineering marvel constructed where the Trent Severn Canal has to cross high ground. It was completed in 1917 and raise boats over a rock step 18 metres high. It is the only marine railway still in use in North America.,y,NA,NA,33.42,0,0.55,n,16,,NA,sitePictures/C11a.jpg,sitePictures/C11b.jpg,sitePictures/C11c.jpg,sitePictures/C11d.jpg
5,110,C110,Highway 28 Nepheline Syenite,,45.067654,-77.819378,"Down the road of the famous Princess Sodalite Mine (Site C52) and opposite of Coltson Lake is a road outcrop of nepheline syenite gneiss with many irregularly pegmatitic veins and dykes. Look carefully for blue crystals of Sodalite, especially in the debris ditch below the outcrop. ",y,45.067654,-77.819378,349.85,0,-9.82,n,14,a,2,sitePictures/C110a.jpg,sitePictures/C110b.jpg,sitePictures/C110c.jpg,sitePictures/C110d.jpg
5,111,C111,Terrane Boundary!,,45.055682,-77.849123,"This large clean outcrop is located right along the boundary between two major terranes; the Bancroft and Alzevir. The outcrop shows the abrupt contact between white pale color gneiss to the north below overlying sheared out marbles containing large, tectonic clasts of the underlying gneiss. Well-developed layering the in black color marble is the result of intense shear and ductile flow of the relatively soft marble. The process occurred at depths of at least 15 kilometres during the Grenville Orogeny. This outcrop is located right at the parking lot of the Professional Center.",n,NA,NA,NA,NA,NA,n,14,a,2,sitePictures/C111a.jpg,sitePictures/C111b.jpg,sitePictures/C111c.jpg,sitePictures/C111d.jpg
5,112,C112,Strained Marble at L'Amable,,45.022029,-77.800705,"Many rocks of the Bancroft Terrane consist of meta-sediments; sedimentary rocks that were highly deformed during the Grenville Orogeny . A major challenge is to identify the nature of sediments before they were deformed (e.g., Site E9) marble is deformed metamorphosed limestone, fine layering is typical of marbles that have been subject to intense shear at depth. This outcrop exposed beautifully banded marble has been thought to primary sedimentary bedding but the marble but upon close examination has been complete re-crystalized during deep burial which would have destroyed any primary sedimentary structure. This is product of steady shear and ductile flow. Such rocks are said to be highly strained. ",y,45.022029,-77.800705,217.65,0,-7.83,n,14,a,2,sitePictures/C112a.jpg,sitePictures/C112b.jpg,sitePictures/C112c.jpg,sitePictures/C112d.jpg
5,113,C113,Tecto-lube,,44.987743,-77.773805,"During the Grenville Orogeny a billion years ago,small tectonic plates called terraces were thrust over each other. Marble played a key role in aiding the movement of the plates as it is relatively soft and is easily deformed. The extensive tectonic marbles of the Bancroft Terrain acted as a lubricant aiding plate tectonic movement. Outcrops out of Highway 62 just north Turriff Road show intensely sheared marbles that have been cut by three mafic dykes dated at about 1.29 billion years. The marble has been intensely sheared and has been folded creating numerous ridges that run across the road. ",y,44.987743,-77.773805,223.56,0,-4.87,n,14,a,2,sitePictures/C113a.jpg,sitePictures/C113b.jpg,sitePictures/C113c.jpg,sitePictures/C113d.jpg
5,114,C114,Textbook Dyke,,44.957417,-77.74977,"This is an excellent outcrop showing multiple phases of Igneous intrusion of black colored,near vertical mafic dykes into marble. Note that the marble contains broken blocks of the same igneous rock indicating multiple phases of intrusion into thinly-bedded highly-sheared marbles. Outcrops such as this reveal much about the nature of processes operating deep below the earth's surface where rocks undergo continuous deformation during plate tectonic collisions.",y,44.957417,-77.74977,72.29,0,-6.72,n,14,a,2,sitePictures/C114a.jpg,sitePictures/C114b.jpg,sitePictures/C114c.jpg,sitePictures/C114d.jpg
5,115,C115,Marvelous Marble,,45.058045,-78.207757,Marble is a relatively soft rock and was deformed during the Grenville Orogeny. Here you will see beautifully folded marble wrapped around irregular blocks of much harder country rock that were much less deformable. Such rocks are called 'tectonic marble' and are common in the Bancroft area. Their plate tectonic significance is such that easily deformed rocks lubricated plate tectonic movement (Site C113).,y,45.058045,-78.207757,0.06,0,-0.3,y,14,a,2,sitePictures/C115a.jpg,sitePictures/C115b.jpg,sitePictures/C115c.jpg,sitePictures/C115d.jpg
3,116,C116,Great Canadian Uranium Rush,Bancroft and the Nuclear Industry,45.002005,-78.049882,"By the early 1950's uranium had become a strategic mineral of global importance but limited supply. The American nuclear program was in full swing among Cold War tensions and generous government incentives promoted exploration in central Canada; the uranium boom was on especially during the period 1952-4 when there was frantic activity. Staking of pegmatite dikes occurred in the Bancroft district and four short lived mines were opened and operated at Bicroft (1956 - 1963 near Monck road and Highway 118), Faraday (1957-1964, on the Madawaska Mine loop road), Greyhawk (1957-1959 on Highway 28) and Canadian Dyno mines (1958-1960). It was a very brief industry as the US had found its own domestic supplies by the end of the decade. By 1964 it was all over and the focus had switched to the nuclear generation of electricity such as Pickering which was announced in 1964 and began operating in 1971 but new global supplies meant the Bancroft mines stayed closed. The Faraday Mine opened in 1975 as the Madawaska Mine but finally closed in 1982. The uranium finds of the late 1940's focused on igneous intrusions such as steeply dipping (50 to 60 degrees) pegmatite  dikes (Site C110). ",y,45.002005,-78.049882,112.93,0,-1.48,n,16,a,2,sitePictures/C116a.jpg,sitePictures/C116b.jpg,sitePictures/C116c.jpg,sitePictures/C116d.jpg
3,117,C117,The Naming of Bancroft,,45.055855,-77.855146,Rivers were significant corridors of trade and transportation across the Ontario Highlands in the early years when there were few roads. Bancroft was originally named 'York Mills'. Rich stands of hemlock and pine were a magnet to early settlers in the Bancroft area and the first log drive along the York River through Bancroft (renamed as such in 1879) was in 1854 and the last was in 1926 supplying squared timber for ship builders in Britain.,y,45.055855,-77.855146,334.97,0,1.7,n,13,a,NA,sitePictures/C117a.jpg,sitePictures/C117b.jpg,sitePictures/C117c.jpg,sitePictures/C117d.jpg
3,118,C118,Bancroft Station,,45.058441,-77.859036,"The first railway reached Bancroft in 1900 as a direct route to the gold fields of North Hastings passing through Coe Hill where an iron mine operated from 1882 to 1887. The Bessemer Mine opened in 1900 to mine iron and lay on a spur line delivering iron ore to Pittsburgh until 1912. Rather than minerals however, lumber was the main material that was shipped out by rail. The line was taken over by Canadian National Railways in 1956 and the Bancroft station was in operation until 1975.",n,NA,NA,NA,NA,NA,n,13,a,2,sitePictures/C118a.jpg,sitePictures/C118b.jpg,sitePictures/C118c.jpg,sitePictures/C118d.jpg
5,119,C119,Perthite,,44.810324,-76.219629,"This is the name given by mineralogists to thin, curving microscopic layers of sodic plagioclase feldspar found mixed within alkali feldspar such as orthoclase or microcline. It can be seen by the naked eye in pegmatite dikes characterized by their large crystals in the Bancroft area. The name was introduced by Dr. James Wilson a doctor living near the town of Perth from discoveries he made in 1843 on a farm on the west shoreline of Adam Lake. Perthite is not a new mineral type but a new variant of two already known feldspar minerals.",n,NA,NA,NA,NA,NA,n,15,a,NA,sitePictures/C119a.jpg,sitePictures/C119b.jpg,sitePictures/C119c.jpg,sitePictures/C119d.jpg
4,12,C12,Wye Marsh,,44.730148,-79.836764,"Wye Marsh is a large wetland near the town of Midland. The Wye River flows through it before it enters Georgian Bay. Wye Marsh is also a wildlife reserve that harbours many species, including the rare Trumpeter Swan. Visit the Wye Marsh Wildlife center on Highway 12 and walk through the wetland.",n,NA,NA,NA,NA,NA,n,16,,NA,sitePictures/C12a.jpg,sitePictures/C12b.jpg,sitePictures/C12c.jpg,sitePictures/C12d.jpg
5,120,C120,Discovery of Uranium,Fission Lake,45.0566,-78.1797,W.M. Richardson is credited with the first finding in 1922 of black pitchblende (the mineral uraninite) near Wilberforce near the north end of Highway 648 loop. On testing it was found to contain 59% of uranium oxide which would produce about 150 milligrams of radium per ton. By the mid-1950's exploration was widespread with activity on some 150 properties but few were developed as mines. The Richardson property (later known as the Fission Mine) is east of Wilberforce and is noted for some of the largest crystals of uraninite ever found in Canada.,n,NA,NA,NA,NA,NA,n,13,a,NA,sitePictures/C120a.jpg,sitePictures/C120b.jpg,sitePictures/C120c.jpg,sitePictures/C120d.jpg
3,121,C121,Gooderham,,44.973056,-78.275131,"This community was built along Gooderham Lake,bordered on the south by the Irondale River and Pine Lake to the north, located on a now defunct railway line, the IB&O Railroad, which has been since converted into a trail network. First settled in 1873, its main industry was logging. ",y,44.973056,-78.275131,202.16,0,4.87,n,15,a,2,sitePictures/C121a.jpg,sitePictures/C121b.jpg,sitePictures/C121c.jpg,sitePictures/C121d.jpg
4,122,C122,Ontario's Grasslands,,44.405335,-77.590581,Much of the limestone area south of Highway 7 between Havelock and Madoc is bare grassland. Their thin soils inhibit cultivation and growth. Many farms cleared in the 19th century are now abandoned and going back to bush creating a unique landscape. Areas further south have a thicker sediment cover in the form of large drumlins (eg. Peterborough Drumlin Field C42).,y,44.405335,-77.590581,13.72,0,-5.46,n,15,a,1,sitePictures/C122a.jpg,sitePictures/C122b.jpg,sitePictures/C122c.jpg,sitePictures/C122d.jpg
3,123,C123,Cardiff,,44.992393,-78.014974,This community can claim to be the former centre of the uranium industry in the Bancroft area as it provided housing for the nearby Bicroft and Canadian Dyno mines which closed in the early 1960's. The Bicroft Mine tailings pile can be seen from Highway 118 across from Center Lake. The Dyno mine site still contains remnants of the original mill and crusher and can be seen from Dyno Road.,y,44.99218,-78.015794,15.78,0,-4.28,n,15,a,1,sitePictures/C123a.jpg,sitePictures/C123b.jpg,sitePictures/C123c.jpg,sitePictures/C123d.jpg
5,124,C124,Straight Gneiss on Highway 60,,45.35583,-79.049512,This is the name given to highly metamorphic rocks (gneiss) that are beautifully banded but where each band is remarkably consistent over many tens of metres. This can only form at great depths (about 25 kilometres) where the rock was being deformed (squeezed and sheared) under great temperature (about 750 degrees celsius) and pressure (up to 7 kilobars or 7000 times atmospheric pressure!) and where deformation and ductile flow was maintained at a constant rate. Such rocks are very common across the Central Gneiss Belt of Central Ontario from Georgian Bay to Haliburton. There are many outcrops of straight gneiss on Highway 60 just east of the junction with Muskoka Road 3 immediately east of Huntsville and throughout the Lake of Bays area. ,y,45.35583,-79.049512,3.4,0,-1.26,n,14,a,1,sitePictures/C124a.jpg,sitePictures/C124b.jpg,sitePictures/C124c.jpg,sitePictures/C124d.jpg
3,125,C125,The Perth Museum,,44.900995,-76.250766,"This is located in Matheson House is noted for the large geological collection assembled by Archibald Campbell and by James Wilson (Site C126). Roderick Matheson was a prominent local merchant and friend of Wilson and also his business partner in Canada's first apatite mine (near Otty Lake). When Wilson retired to his native Scotland in 1869, he left his geological collection with Matheson. Years later, Roderick's son, Colonel Allan Matheson, donated the collection to the Perth Museum.",y,44.900995,-76.250766,68.07,0,-11.44,n,14,a,1,sitePictures/C125a.jpg,sitePictures/C125b.jpg,sitePictures/C125c.jpg,sitePictures/C125d.jpg
3,126,C126,Dr. James Wilson,,44.899278,-76.248722,"Wilson (1798-1881) was a Scottish medic who set up practice in Perth in 1821. As he traveled between house calls in a horse-drawn buggy he would study the local geology in numerous Outcrops along his route. He became such an expert that when his Edinburgh schoolmate, William E. Logan, was engaged as the first director of the Geological Survey of Canada in 1842, Wilson was one of the first people Logan called upon to give him the lay of the land. This amateur/professional relationship continued for many years, resulting in several notable scientific discoveries celebrated today by displays at Perth Museum (Site C125).",y,44.899278,-76.248722,226.29,0,-28.87,n,15,a,1,sitePictures/C126a.jpg,sitePictures/C126b.jpg,sitePictures/C126c.jpg,sitePictures/C126d.jpg
5,127,C127,The Hastings Highlands,Early Understanding of the Canadian Shield,45.246692,-77.947323,The complexity of the highly deformed Grenville Province rocks of the Canadian Shield in eastern Ontario especially around Bancroft was baffling to early geologists more used to working with much younger flat-lying sedimentary rock with fossils to aid correlation. The rocks were complex and the area was very difficult to work in with no roads and dense forests. Early ideas were that the Shield was simply cooled crust in keeping with the notion of a once molten planet. Observations of the deformed marbles of the Hastings Highlands in the 1850's by Sir William Logan and others area resulted in the new notion that much rock had been sedimentary in origin but much altered by Metamorphism (Sites C115 ). The term 'Hastings Series' was used in the 1860's to refer to such strata. Final understanding about 100 years later had to await the identification of 'terranes' or large blocks of rock that formerly had been small landmasses or islands made up of sedimentary strata and all brought together and deformed by plate tectonic processes about 1 billion years ago during formation of the Grenville Mountains and the Supercontinent Rodinia .,y,45.246692,-77.947323,86.93,0,0.96,n,13,a,NA,sitePictures/C127a.jpg,sitePictures/C127b.jpg,sitePictures/C127c.jpg,sitePictures/C127d.jpg
3,128,C128,Halls Lake Log Chute,,45.149389,-78.728377,"Here in the Haliburton Highlands is an amazingly preserved piece of Ontario's logging history, a narrow wooden trough funneling fast-flowing water designed to carry logs down the Gull River during the spring breakup and thaw. Built in 1861 spring runoff ponded up behind the dam was released to create a flood capable of carrying heavy logs downriver from sprawling pine forests. A chute was in operation here between 1861 and the 1930's when the supply of logs began to dwindle. The present chute was made in 1999 of sawn hemlock and is the best preserved anywhere in the province.  An interpretive display outlines the area's rich legacy of logging; also visit the Heritage Discovery Museum in nearby Stanhope. At one time there were hundreds of log chutes across Ontario but nearly all exist in name only (e.g., C54).  ",n,NA,NA,NA,NA,NA,n,14,a,2,sitePictures/C128a.jpg,sitePictures/C128b.jpg,sitePictures/C128c.jpg,sitePictures/C128d.jpg
3,129,C129,The Great Depression,Beginning of the Cottage Boom,44.490367,-78.236135,"In 1933 there were several camps set up in the Bancroft area to provide relief work for the unemployed. These men were paid about a $1 a day to work on improving the original colonization roads (Hastings Road, Monck Road, Paudash and Burleigh Roads) which had been cut in the 19th century to ease the movement of settlers onto the southern margins of the Canadian Shield. The original purpose had been unsuccessful because there was limited farmland on the Shield  (Sites C21, C48) but the upgrades made to the roads in the 1930s and the widening ownership of cars attracted the first cottagers to the Highlands. The recreation boom had begun and a new type of seasonal settler had arrived.",y,44.487631,-78.238753,252.58,0,-0.89,n,14,a,2,sitePictures/C129a.jpg,sitePictures/C129b.jpg,sitePictures/C129c.jpg,sitePictures/C129d.jpg
3,13,C13,Sainte-Marie among the Hurons,,44.74583333,-79.85216667,"Close by is the reconstructed 17th-century village of Sainte-Marie among the Hurons, which was the western terminus of the early fur trade. The original village, part of which was made of limestone from Ontario's first quarry, was burned in 1649 by missionaries before they abandoned it to invading Iroquois warriors.",n,NA,NA,NA,NA,NA,n,16,,NA,sitePictures/C13a.jpg,sitePictures/C13b.jpg,sitePictures/C13c.jpg,sitePictures/C13d.jpg
5,130,C130,The Painted Rocks,Groovy Gneisses,45.644378,-80.581532,"These rocks near the mouth of Bayfield Inlet in the 30,000 Islands area of Georgian Bay (Site C6) are a great destination for kayakers and boaters. They get their name from the strongly banded character of the gneiss which show alternating dark black and light pinky-orange layers which are all folded together producing streaky coloured rock smoothed by glacial scour. Look out for the glacial flutes cut into the rock surface and glacial chatter marks (C131); both indicate strong southwestward flow of the ice sheet into Georgian Bay during the last ice age.  ",n,NA,NA,NA,NA,NA,n,16,,1,sitePictures/C130a.jpg,sitePictures/C130b.jpg,sitePictures/C130c.jpg,sitePictures/C130d.jpg
1,131,C131,Chattering Glaciers,,45.496376,-80.476895,"During the last ice age, glacial ice more than 2 kilometres thick covered Ontario and flowed south into the US. Rock debris held within the ice base created an effective tool for abrading the landscapes over which the ice moved cutting valleys and lake basins including those of the modern Great Lakes. Many rocks surfaces across the Shield such as these seen here, are deeply scratched (striated) and also show crescentic gouges (called 'chatter marks') where chips of rocks were chipped and sheared out under the impact of large boulders being dragged across the surface under the great weight of the ice sheet.",n,NA,NA,NA,NA,NA,n,15,,1,sitePictures/C131a.jpg,sitePictures/C131b.jpg,sitePictures/C131c.jpg,sitePictures/C131d.jpg
3,132,C132,Snug Harbour Lighthouse,,45.373803,-80.31123,Lighthouses such as this one at Sung Harbour built in 1894 dot the rocky shoreline of Georgian Bay as testament to a pre-GPS age but are threatened by closure and abandonment. Many were built following public pressure after nautical tragedies such as the wrecking of the Waubuno with all hands in 1879 at a time of rapid increase in economic growth in the Parry Sound and Owen Sound areas of Georgian Bay.,n,NA,NA,NA,NA,NA,n,17,,1,sitePictures/C132a.jpg,sitePictures/C132b.jpg,sitePictures/C132c.jpg,sitePictures/C132d.jpg
5,133,C133,Sans Souci Dikes,,45.1655,-80.1337,"The rocky foreshore near the docks on the island of Sans Souci right by the Champlain Monument (Site C134) show many generations of igneous intrusive dikes that cross cut each other, along with thick quartz veins. These record the upward movement of magma and hot fluids along fractures when the main phase of the Grenville Orogeny had finished about 1 billion years ago. ",n,NA,NA,NA,NA,NA,n,14,,2,sitePictures/C133a.jpg,sitePictures/C133b.jpg,sitePictures/C133c.jpg,sitePictures/C133d.jpg
3,134,C134,Champlain Monument at Sans Souci,,45.166577,-80.134112,"Samuel de Champlain was a famous (and much commemorated e.g. Sites E21, E24) French explorer who put large areas of the New World (what is now Ontario and Quebec) on the map for Europeans in the early seventeenth century. He founded the City of Quebec in 1608. He accurately described landscapes and the native groups encountered along the way.  His route along the eastern shore of Georgian Bay among the 30,000 Islands (Site C6) is commemorated by several monuments such as this one at Sans Souci docks.",n,NA,NA,NA,NA,NA,n,15,,1,sitePictures/C134a.jpg,sitePictures/C134b.jpg,sitePictures/C134c.jpg,sitePictures/C134d.jpg
3,135,C135,The 'Waubuno',Lost with all hands in Georgian Bay,45.345629,-80.044207,The loss of the 'Waubuno' and all of her crew and passengers in a snow storm in November 1879 in the difficult rock-strewn waters of the Thirty Thousands Islands area of Georgian Bay is perhaps Ontario's most famous shipwreck (comparable to the more recent loss of the Great Laker the 'Edmund Fitzgerald' in 1975). Part of the ship lies in shallow near the island of Sans Souci west of Parry Sound (near the appropriately named Wreck Island).,y,45.345721,-80.043885,259.79,0,1.11,n,16,,2,sitePictures/C135a.jpg,sitePictures/C135b.jpg,sitePictures/C135c.jpg,sitePictures/C135d.jpg
5,136,C136,Rousseau Pegmatite,,45.215022,-79.596893,"Here by the shore of Lake Rousseau on Highway 141 is a great example of a thick pegmatite dike intruded into surrounding gneiss country rock (Site C7).  Look for black sheets of biotite mica), glass like quartz (often darkened to smoky quartz) and large orange-pink crystals of feldspar; the exceptional crystal sizes are indicative of intrusive rocks that cooled very slowly. Such Intrusions  occurred very late in the history of the Grenville Mountains after the main collision between North America and ancestral South America was over.",n,NA,NA,NA,NA,NA,n,14,,2,sitePictures/C136a.jpg,sitePictures/C136b.jpg,sitePictures/C136c.jpg,sitePictures/C136d.jpg
5,130,C137,Complex drumlins of the Peterborough Drumlin Field,,44.15589,-78.25882,This area is well known for the presence of ‘complex drumlins’ within the axis of the Peterborough Drumlin Field which lies north and west of Rice Lake toward the City of Peterborough. This area illustrates how large ovoid drumlins evolve into ‘conjoined flutes’ of various planforms as the drumlinized till bed was lowered and dissected by subglacial erosion below fast flowing ice.  Prominent grooves visible on the flanks of drumlins and straightened drumlin margins may record erosion of larger more ovoid drumlins by erosive streams of remobilised subglacial debris being moved to the ice margin.,n,NA,NA,NA,NA,NA,n,14,,2,sitePictures/C137a.jpg,sitePictures/C137b.jpg,sitePictures/C137c.jpg,sitePictures/C137d.jpg
1,520,C138,Peterborough Drumlin Field,Viewpoint,44.15016,-78.31527,"This site affords a view to the northwest across the axis of the PDF to its western limit defined by rising ground likely resulting from regional block faulting of underlying Precambrian basement structures. The PDF occupies a broad depression and this likely played a role in allowing accumulation of thick glaciolacustrine sediments prior to the Late Wisconsin maximum; much of this has been reworked with limestone debris quarried and plucked form limestone  escarpments on the hard bed to the north, creating thick till (Northern Till).  Several workers have pointed out that drift drumlins are cut across this till and appear to be erosional in origin related to late stage fast ice flow (sites C139, C140, C141, C142, C143, C144).",n,NA,NA,NA,NA,NA,n,14,NA,1,sitePictures/C138a.jpg,sitePictures/C138b.jpg,sitePictures/C138c.jpg,sitePictures/C138d.jpg
5,521,C139,Bisected drumlin,,44.2812,-77.71682,Highway 8 cuts across an excellent example of a large ovoid drumlin - one of thousands within the Peterborough Drumlin Field. ,y,44.2812,-77.71682,65.33824773,0,-12.79378395,n,14,NA,NA,sitePictures/C139a.jpg,sitePictures/C139b.jpg,sitePictures/C139c.jpg,sitePictures/C139d.jpg
1,14,C14,World Class Wasaga Beach,,44.524678,-80.01946,"Ontario boasts the world's longest freshwater beach. Wasaga Beach at the southern end of Georgian Bay is 18 kilometres long and forms a wide gently sloping surface covered by shallow water with prominent offshore ridges (bars) parallel to the coastline. Inland of the modern beach is a great swath, some 7 kilometres wide, of old raised beach sand deposits forming part of an ancient barrier island and lagoon complex now high and dry.",y,NA,NA,309.15,0,-17.62,n,16,,NA,sitePictures/C14a.jpg,sitePictures/C14b.jpg,sitePictures/C14c.jpg,sitePictures/C14d.jpg
5,522,C140,Till on silt core of drumlin,,44.371778,-78.096389,"This elongate drumlin along the axis of Peterborough Drumlin Field shows till resting erosively on a core of glaciolacustrine silt. This illustrates the importance of incorporation of mixing of fine sediment with limestone debris to create till (see sites E69, C143, C144).",y,44.371778,-78.096389,35.75836585,0,-12.49167453,n,14,NA,2,sitePictures/C140a.jpg,sitePictures/C140b.jpg,sitePictures/C140c.jpg,sitePictures/C140d.jpg
